day,Open,High,Low,Close
2003-12-26,166.5,166.5,166.03,166.03
2003-12-25,166.57,166.57,166.48,166.48
2003-12-24,166.78,166.78,166.42,166.42
2003-12-23,166.55,166.55,166.47,166.47
2003-12-22,168.5,168.5,167.11,167.11
2003-12-19,167.69,167.93,167.69,167.93
2003-12-18,170.36,170.36,168.69,168.69
2003-12-17,169.72,169.72,168.74,168.74
2003-12-16,165.67,166.14,165.67,166.14
2003-12-15,162.74,163.61,162.74,163.61
2003-12-12,161.71,162.14,161.71,162.14
2003-11-12,161.75,161.84,161.75,161.84
2003-10-12,162.14,162.14,161.74,161.74
2003-09-12,161.14,161.85,161.14,161.85
2003-08-12,161.63,161.63,161.01,161.01
2003-05-12,163.69,163.69,162.47,162.47
2003-04-12,164.11,164.11,163.6,163.6
2003-03-12,164.21,164.21,164.06,164.06
2003-02-12,164.66,164.66,164.49,164.49
2003-01-12,164.75,164.86,164.75,164.86
2003-11-28,164.5,164.5,163.87,163.87
2003-11-27,161.68,162.92,161.68,162.92
2003-11-26,163.55,163.55,161.61,161.61
2003-11-25,166.04,166.04,165.4,165.4
2003-11-24,163.09,163.31,163.09,163.31
2003-11-21,158.02,159.98,158.02,159.98
2003-11-20,153.35,155.31,153.35,155.31
2003-11-19,148.54,152.06,148.54,152.06
2003-11-18,148.76,150.09,148.76,150.09
2003-11-17,158.17,158.17,154.67,154.67
2003-11-14,156.03,156.03,155.73,155.73
2003-11-13,147.88,149.59,147.88,149.59
2003-12-11,141.36,143.79,141.36,143.79
2003-11-11,138.71,140.19,138.71,140.19
2003-10-11,137.5,138.19,137.5,138.19
2003-07-11,136.63,137.33,136.63,137.33
2003-06-11,136.12,136.73,136.12,136.73
2003-05-11,135.5,135.97,135.5,135.97
2003-04-11,135.97,135.97,135.7,135.7
2003-03-11,136.64,136.64,135.78,135.78
2003-10-31,135.0,136.21,135.0,136.21
2003-10-30,133.97,134.1,133.97,134.1
2003-10-29,133.27,133.27,133.22,133.22
2003-10-28,131.44,132.44,131.44,132.44
2003-10-27,131.14,131.44,131.14,131.44
2003-10-24,130.91,130.91,130.9,130.9
2003-10-23,132.45,132.45,131.17,131.17
2003-10-22,133.15,133.15,132.72,132.72
2003-10-21,134.06,134.06,133.69,133.69
2003-10-20,134.2,134.2,134.09,134.09
2003-10-17,134.14,134.46,134.14,134.46
2003-10-16,135.41,135.41,134.82,134.82
2003-10-15,135.73,135.73,135.49,135.49
2003-10-14,135.94,135.94,135.61,135.61
2003-10-13,136.52,136.52,136.12,136.12
2003-10-10,136.72,136.72,136.57,136.57
2003-09-10,137.32,137.32,136.95,136.95
2003-08-10,136.71,137.25,136.71,137.25
2003-07-10,137.52,138.22,137.52,138.22
2003-06-10,137.61,138.5,137.61,138.5
2003-03-10,138.94,138.94,138.63,138.63
2003-02-10,139.06,139.06,138.92,138.92
2003-01-10,139.31,139.31,139.19,139.19
2003-09-30,139.22,139.32,139.22,139.32
2003-09-29,140.07,140.07,139.27,139.27
2003-09-26,141.25,141.25,139.93,139.93
2003-09-25,141.8,141.8,141.54,141.54
2003-09-24,140.19,140.19,139.88,139.88
2003-09-23,139.86,140.0,139.86,140.0
2003-09-22,139.85,139.97,139.85,139.97
2003-09-19,140.14,140.14,139.89,139.89
2003-09-18,140.27,140.27,140.26,140.26
2003-09-17,139.95,140.33,139.95,140.33
2003-09-16,140.0,140.06,140.0,140.06
2003-09-15,140.62,140.62,140.18,140.18
2003-12-09,140.53,140.91,140.53,140.91
2003-11-09,141.4,141.4,141.4,141.4
2003-10-09,141.61,141.61,141.5,141.5
2003-09-09,141.44,141.73,141.44,141.73
2003-08-09,141.8,141.8,141.51,141.51
2003-05-09,141.96,141.96,141.8,141.8
2003-04-09,142.25,142.25,142.05,142.05
2003-03-09,142.51,142.51,142.11,142.11
2003-08-29,142.11,142.71,142.11,142.71
2003-08-28,142.32,142.32,142.1,142.1
2003-08-27,142.82,142.82,142.68,142.68
2003-08-26,142.43,142.43,142.24,142.24
2003-08-25,142.01,142.26,142.01,142.26
2003-08-22,142.56,142.56,142.1,142.1
2003-08-21,142.16,142.46,142.16,142.46
2003-08-20,142.63,142.63,142.25,142.25
2003-08-19,142.9,142.9,142.87,142.87
2003-08-18,143.25,143.25,143.0,143.0
2003-08-15,143.49,143.49,142.9,142.9
2003-08-14,141.93,142.73,141.93,142.73
2003-08-13,140.99,141.89,140.99,141.89
2003-12-08,141.8,141.9,141.8,141.9
2003-11-08,141.26,141.66,141.26,141.66
2003-08-08,141.55,141.55,140.96,140.96
2003-07-08,142.16,142.16,142.12,142.12
2003-06-08,143.17,143.17,142.66,142.66
2003-05-08,143.2,143.43,143.2,143.43
2003-04-08,144.55,144.55,143.89,143.89
2003-01-08,144.99,144.99,144.89,144.89
2003-07-31,147.13,147.13,146.32,146.32
2003-07-30,147.91,147.91,147.27,147.27
2003-07-29,148.69,148.69,148.02,148.02
2003-07-28,148.78,148.8,148.78,148.8
2003-07-25,149.92,149.92,149.29,149.29
2003-07-24,150.07,150.07,149.87,149.87
2003-07-23,149.28,149.63,149.28,149.63
2003-07-22,149.74,149.74,149.2,149.2
2003-07-21,150.12,150.12,149.93,149.93
2003-07-18,150.75,150.75,150.34,150.34
2003-07-17,150.65,150.65,150.27,150.27
2003-07-16,150.76,150.76,150.68,150.68
2003-07-15,150.6,150.6,150.59,150.59
2003-07-14,151.48,151.48,150.81,150.81
2003-11-07,151.66,151.66,151.22,151.22
2003-10-07,151.33,151.33,151.2,151.2
2003-09-07,152.22,152.22,151.1,151.1
2003-08-07,151.84,152.26,151.84,152.26
2003-07-07,152.08,152.18,152.08,152.18
2003-04-07,152.15,152.18,152.15,152.18
2003-03-07,151.56,151.84,151.56,151.84
2003-02-07,154.14,154.14,151.68,151.68
2003-01-07,152.29,152.62,152.29,152.62
2003-06-30,151.71,152.27,151.71,152.27
